pin10,sfha2018,sfha2024,prelimsfha,lomr2018,lomr2024,EFF_DATlomr2018,EFF_DATlomr2024,n
0126302003,1,1,1,0,0,NA,NA,1
0126302004,1,1,1,0,0,NA,NA,1
0126302005,1,1,1,0,0,NA,NA,1
0126302006,1,1,1,0,0,NA,NA,1
0126303001,1,1,1,0,0,NA,NA,1
0126303002,1,1,1,0,0,NA,NA,1
0126303003,1,1,1,0,0,NA,NA,1
0126305001,1,1,0,0,0,NA,NA,1
0126305002,1,1,1,0,0,NA,NA,1
0126305003,1,1,1,0,0,NA,NA,1
0128102018,0,0,1,0,0,NA,NA,1
0128200007,1,1,1,0,0,NA,NA,1
0128300005,0,0,1,0,0,NA,NA,1
0133103008,0,0,1,1,1,2008-11-24,2008-11-24,1
0135103009,1,1,1,0,0,NA,NA,1
0135200013,1,1,1,0,0,NA,NA,1
0135200029,1,1,1,0,0,NA,NA,1
0135200036,1,1,1,0,0,NA,NA,1
0135300001,1,1,1,0,0,NA,NA,1
0135400017,1,1,0,0,0,NA,NA,1
0135400019,1,1,0,0,0,NA,NA,1
0135400022,1,1,1,0,0,NA,NA,1
0135401015,1,1,1,0,0,NA,NA,1
0135401022,1,1,1,0,0,NA,NA,1
0201102053,0,0,0,1,1,2015-10-06,2015-10-06,1
0201201006,0,0,0,1,1,2015-10-06,2015-10-06,1
0201209022,0,0,0,1,1,2009-01-30,2009-01-30,1
0201209023,0,0,0,1,1,2009-01-30,2009-01-30,1
0201209024,0,0,0,1,1,2009-01-30,2009-01-30,1
0201209025,0,0,0,1,1,2009-01-30,2009-01-30,1
0201209026,0,0,0,1,1,2009-01-30,2009-01-30,1
0201209027,0,0,0,1,1,2009-01-30,2009-01-30,1
0201300015,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300018,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300019,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300021,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300022,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300024,0,0,0,1,0,2015-10-06,NA,1
0201300025,0,0,0,1,0,2015-10-06,NA,1
0201300026,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300027,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300028,0,0,0,1,1,2015-10-06,2015-10-06,1
0201300029,0,0,0,0,1,NA,2015-10-06,1
0201300030,0,0,0,0,1,NA,2015-10-06,1
0201300031,0,0,0,0,1,NA,2015-10-06,1
0201301003,0,0,0,1,0,2015-10-06,NA,1
0201301006,0,0,0,1,0,2015-10-06,NA,1
0201301008,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302018,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302019,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302023,1,1,0,1,1,2015-10-06,2015-10-06,1
0201302024,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302025,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302026,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302027,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302028,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302029,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302030,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302031,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302032,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302033,1,1,0,1,1,2015-10-06,2015-10-06,1
0201302034,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302035,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302036,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302037,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302038,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302039,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302040,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302041,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302042,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302043,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302044,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302045,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302046,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302047,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302048,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302049,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302050,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302051,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302052,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302053,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302054,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302055,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302056,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302057,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302058,0,0,0,1,1,2015-10-06,2015-10-06,1
0201302059,0,0,0,1,1,2015-10-06,2015-10-06,1
