tax_code_num,agency_num,agency_name,minor_type
73031,030210000,CITY OF CHICAGO,MUNI
73032,030210000,CITY OF CHICAGO,MUNI
73033,030210000,CITY OF CHICAGO,MUNI
73034,030210000,CITY OF CHICAGO,MUNI
73035,030210000,CITY OF CHICAGO,MUNI
73036,030210000,CITY OF CHICAGO,MUNI
73037,030210000,CITY OF CHICAGO,MUNI
73038,030210000,CITY OF CHICAGO,MUNI
73039,030210000,CITY OF CHICAGO,MUNI
73040,030210000,CITY OF CHICAGO,MUNI
73041,030210000,CITY OF CHICAGO,MUNI
73042,030210000,CITY OF CHICAGO,MUNI
73043,030210000,CITY OF CHICAGO,MUNI
73044,030210000,CITY OF CHICAGO,MUNI
73045,030210000,CITY OF CHICAGO,MUNI
73046,030210000,CITY OF CHICAGO,MUNI
73047,030210000,CITY OF CHICAGO,MUNI
73048,030210000,CITY OF CHICAGO,MUNI
73049,030210000,CITY OF CHICAGO,MUNI
73050,030210000,CITY OF CHICAGO,MUNI
73051,030210000,CITY OF CHICAGO,MUNI
73052,030210000,CITY OF CHICAGO,MUNI
73053,030210000,CITY OF CHICAGO,MUNI
73054,030210000,CITY OF CHICAGO,MUNI
73055,030210000,CITY OF CHICAGO,MUNI
73056,030210000,CITY OF CHICAGO,MUNI
73057,030210000,CITY OF CHICAGO,MUNI
73058,030210000,CITY OF CHICAGO,MUNI
73059,030210000,CITY OF CHICAGO,MUNI
73060,030210000,CITY OF CHICAGO,MUNI
73061,030210000,CITY OF CHICAGO,MUNI
73062,030210000,CITY OF CHICAGO,MUNI
73063,030210000,CITY OF CHICAGO,MUNI
73064,030210000,CITY OF CHICAGO,MUNI
73065,030210000,CITY OF CHICAGO,MUNI
73066,030210000,CITY OF CHICAGO,MUNI
73067,030210000,CITY OF CHICAGO,MUNI
73068,030210000,CITY OF CHICAGO,MUNI
73069,030210000,CITY OF CHICAGO,MUNI
73070,030210000,CITY OF CHICAGO,MUNI
73071,030210000,CITY OF CHICAGO,MUNI
73072,030210000,CITY OF CHICAGO,MUNI
73073,030210000,CITY OF CHICAGO,MUNI
73074,030210000,CITY OF CHICAGO,MUNI
73075,030210000,CITY OF CHICAGO,MUNI
73076,030210000,CITY OF CHICAGO,MUNI
73077,030210000,CITY OF CHICAGO,MUNI
73078,030210000,CITY OF CHICAGO,MUNI
73079,030210000,CITY OF CHICAGO,MUNI
73080,030210000,CITY OF CHICAGO,MUNI
73081,030210000,CITY OF CHICAGO,MUNI
73082,030210000,CITY OF CHICAGO,MUNI
73083,030210000,CITY OF CHICAGO,MUNI
73084,030210000,CITY OF CHICAGO,MUNI
74001,030210000,CITY OF CHICAGO,MUNI
74002,030210000,CITY OF CHICAGO,MUNI
74004,030210000,CITY OF CHICAGO,MUNI
74005,030210000,CITY OF CHICAGO,MUNI
74006,030210000,CITY OF CHICAGO,MUNI
74007,030210000,CITY OF CHICAGO,MUNI
74008,030210000,CITY OF CHICAGO,MUNI
74009,030210000,CITY OF CHICAGO,MUNI
74010,030210000,CITY OF CHICAGO,MUNI
74011,030210000,CITY OF CHICAGO,MUNI
74012,030210000,CITY OF CHICAGO,MUNI
74013,030210000,CITY OF CHICAGO,MUNI
74014,030210000,CITY OF CHICAGO,MUNI
74015,030210000,CITY OF CHICAGO,MUNI
74016,030210000,CITY OF CHICAGO,MUNI
74017,030210000,CITY OF CHICAGO,MUNI
74018,030210000,CITY OF CHICAGO,MUNI
74019,030210000,CITY OF CHICAGO,MUNI
74020,030210000,CITY OF CHICAGO,MUNI
74021,030210000,CITY OF CHICAGO,MUNI
74504,030210000,CITY OF CHICAGO,MUNI
75001,030210000,CITY OF CHICAGO,MUNI
75002,030210000,CITY OF CHICAGO,MUNI
75003,030210000,CITY OF CHICAGO,MUNI
75005,030210000,CITY OF CHICAGO,MUNI
75006,030210000,CITY OF CHICAGO,MUNI
75007,030210000,CITY OF CHICAGO,MUNI
75008,030210000,CITY OF CHICAGO,MUNI
75009,030210000,CITY OF CHICAGO,MUNI
75010,030210000,CITY OF CHICAGO,MUNI
75011,030210000,CITY OF CHICAGO,MUNI
75012,030210000,CITY OF CHICAGO,MUNI
75013,030210000,CITY OF CHICAGO,MUNI
75014,030210000,CITY OF CHICAGO,MUNI
76001,030210000,CITY OF CHICAGO,MUNI
76002,030210000,CITY OF CHICAGO,MUNI
